Pick and Ban Order - LCO 2024 Split 1,Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD


Week 6,FURY Global,Dire Wolves,0 - 2,2,14.3,Orianna,Varus,K'Sante,Ashe,Syndra,Senna,Karma,"Lucian, LeBlanc","Twisted Fate, Xin Zhao",Nami,Caitlyn,Riven,Udyr,Zac,Jax,"Yasuo, Galio",Irelia,Support,Bot,Jungle,Top,Mid,Bot,Mid,Support,Jungle,Top,SB,
Week 6,Dire Wolves,FURY Global,1 - 0,1,14.3,Varus,Orianna,Ashe,K'Sante,Senna,Karma,Lucian,"Milio, Aphelios","Nami, Syndra",Bel'Veth,Poppy,Gragas,Vi,Udyr,Soraka,"Zac, Lee Sin",Camille,Bot,Support,Mid,Top,Jungle,Support,Bot,Jungle,Mid,Top,SB,
Week 6,Antic Esports,Kanga Esports,1 - 1,2,14.3,Udyr,Twisted Fate,Varus,Smolder,Karma,Ashe,Kalista,"Ezreal, Brand","Vi, Orianna",Syndra,Renata Glasc,Braum,Nautilus,Pyke,Bard,"Maokai, K'Sante",Aatrox,Bot,Jungle,Mid,Support,Top,Bot,Jungle,Mid,Support,Top,SB,
Week 6,Antic Esports,Kanga Esports,1 - 0,1,14.3,Udyr,Ashe,Varus,Orianna,Karma,Twisted Fate,Smolder,"Senna, Taliyah","Tahm Kench, LeBlanc",Brand,Vi,Nautilus,Jarvan IV,Bard,Ornn,"Xin Zhao, K'Sante",Aatrox,Bot,Support,Mid,Jungle,Top,Bot,Mid,Jungle,Support,Top,SB,
Week 6,MAMMOTH,ION Global Esports,0 - 2,2,14.3,None,Udyr,Yone,Kalista,Orianna,Zoe,Ashe,"Varus, Karma","Caitlyn, LeBlanc",Azir,Lee Sin,Maokai,Kindred,Vi,Jarvan IV,"Viego, K'Sante",Twisted Fate,Support,Bot,Mid,Jungle,Top,Bot,Support,Mid,Jungle,Top,SB,
Week 6,MAMMOTH,ION Global Esports,0 - 1,2,14.3,None,Udyr,Yone,Kalista,Karma,Zoe,Varus,"Ashe, Caitlyn","Nocturne, Orianna",Akali,Blitzcrank,K'Sante,Nautilus,Maokai,Jarvan IV,"Aatrox, Hwei",Camille,Bot,Jungle,Mid,Top,Support,Support,Bot,Mid,Jungle,Top,SB,
Week 6,Dire Wolves,Ground Zero Gaming,0 - 2,2,14.3,Udyr,Riven,Twisted Fate,Milio,Ashe,Kalista,Orianna,"Smolder, Hwei","Nocturne, K'Sante",Xin Zhao,Varus,Nautilus,Lucian,Gnar,Rakan,"Caitlyn, Lissandra",Zac,Mid,Jungle,Top,Bot,Support,Bot,Mid,Jungle,Support,Top,SB,
Week 6,Ground Zero Gaming,Dire Wolves,1 - 0,1,14.3,Riven,Twisted Fate,Milio,Kalista,Lucian,Varus,Smolder,"Ashe, Karma","Nocturne, Orianna",Graves,Gragas,Renata Glasc,Bard,Braum,Ezreal,"Nautilus, Udyr",Sion,Bot,Jungle,Mid,Support,Top,Support,Mid,Jungle,Bot,Top,SB,
Week 6,Team Bliss,FURY Global,2 - 0,1,14.3,Bel'Veth,Orianna,Aurelion Sol,K'Sante,Smolder,Varus,Karma,"Senna, Nautilus","Kalista, Renata Glasc",Syndra,Ornn,Jarvan IV,Nocturne,Xin Zhao,Vi,"Udyr, Kindred",Gwen,Mid,Bot,Support,Top,Jungle,Bot,Support,Mid,Jungle,Top,SB,
Week 6,Team Bliss,FURY Global,1 - 0,1,14.3,Bel'Veth,Orianna,Aurelion Sol,K'Sante,Smolder,Varus,Ashe,"Karma, Senna","Ezreal, Jax",Nautilus,Vi,Xin Zhao,Kindred,Viego,Jarvan IV,"Azir, Lee Sin",Rumble,Support,Bot,Top,Mid,Jungle,Mid,Bot,Support,Jungle,Top,SB,
